"region","hbcu","tribal","urban","open","landGrant","associates","allDistance","partDistance","studyAbroad","weekend","remedial","counseling","dayCare","oncampusHousing","mealPlan","instateTuition","size","facultyRatio","grantAid","loanAid","minorityEnroll","placeEmploy","tuitionOptions"
"SE","No","No","Rural:R","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes","Yes",7144,"1-4,999",13,4839,7845,42,"Yes","Yes"
"SE","No","No","Rural:F","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",19470,"1-4,999",13,10183,8004,25,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",10740,"1-4,999",16,8225,7071,19,"Yes","Yes"
"SE","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6096,"5-9,999",21,5311,5490,17,"Yes","Yes"
"SE","Yes","No","City:M","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",15714,"1-4,999",12,7472,8168,87,"Yes","No"
"SE","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",27520,"5-9,999",12,14077,6983,12,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",7032,"10-19,999",20,6037,9222,27,"Yes","Yes"
"SE","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",32032,"1-4,999",14,23529,9792,17,"Yes","Yes"
"SE","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",11340,"<1,000",8,5349,8565,39,"Yes","Yes"
"SE","No","No","Rural:F","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6888,"10-19,999",15,6330,9203,35,"Yes","Yes"
"SE","Yes","No","Town:D","No","Yes","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",18560,"1-4,999",14,5231,5000,90,"Yes","Yes"
"SE","No","No","City:S","No","No","Implied no","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","No","No",13320,"<1,000",8,3574,3827,26,"No","No"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",5656,"10-19,999",15,5177,6796,10,"Yes","Yes"
"FW","No","No","Suburb:S","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5656,"5-9,999",11,5734,6861,7,"Yes","Yes"
"FW","No","No","Town:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",5656,"1-4,999",12,4889,7121,7,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",19500,"<1,000",8,9725,8925,6,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",20137,"1-4,999",16,4872,8133,35,"Yes","Yes"
"SW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",11700,"<1,000",9,12998,10096,29,"Yes","No"
"SW","No","No","City:S","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",18021,"<1,000",13,5216,8096,10,"Yes","Yes"
"SW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Yes","Yes","Yes",9484,"20,000+",23,10103,6743,23,"Yes","Yes"
"SW","No","No","City:L","No","Yes","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",9864,"20,000+",22,9923,6444,29,"Yes","Yes"
"SW","No","No","City:L","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",12888,"<1,000",10,4893,6233,57,"Yes","Yes"
"SW","No","No","Rural:F","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",31944,"1-4,999",17,12937,7163,6,"Yes","Yes"
"SW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",16451,"20,000+",17,7909,8025,36,"Yes","Yes"
"SW","No","No","Suburb:L","No","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",17748,"<1,000",21,3923,8355,39,"Yes","No"
"SW","No","No","City:M","No","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",17748,"<1,000",17,4103,8442,36,"Yes","No"
"SW","No","No","City:S","Yes","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",8400,"20,000+",18,8177,6956,25,"Yes","Yes"
"SW","No","No","City:L","Yes","No","Implied no","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",11760,"<1,000",7,4718,10829,11,"No","No"
"SW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Implied no","Implied no","Yes","Implied no","No","No",18335,"1-4,999",25,6108,10553,44,"Yes","Yes"
"SW","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",26088,"<1,000",9,10945,7484,11,"No","Yes"
"SW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",22230,"<1,000",16,7115,4698,26,"Yes","Yes"
"SW","No","No","City:M","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",6000,"1-4,999",16,3722,8026,29,"No","Yes"
"SE","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",6180,"10-19,999",15,6774,6725,30,"Yes","Yes"
"SE","No","No","City:M","No","No","Yes","No","Yes","Implied no","Implied no","Implied no","Yes","Implied no","Yes","No",6963,"1-4,999",7,3960,9213,16,"Yes","Yes"
"SE","No","No","Town:R","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",25040,"<1,000",15,24457,7739,12,"Yes","Yes"
"SE","No","No","City:S","No","Yes","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",7028,"20,000+",19,6779,6793,12,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6000,"10-19,999",17,8178,7369,16,"Yes","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",5160,"10-19,999",19,6375,6900,15,"Yes","Yes"
"SE","No","No","Town:R","Yes","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",4500,"1-4,999",14,6320,5681,29,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",5918,"10-19,999",17,7049,7513,23,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",12900,"<1,000",11,7411,7417,25,"No","No"
"SE","No","No","Rural:F","Yes","No","Yes","No","Yes","Implied no","Implied no","Yes","Implied no","Implied no","Yes","Yes",9900,"<1,000",10,10725,6538,8,"No","Yes"
"SE","No","No","Town:D","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",17130,"5-9,999",16,9767,7504,8,"Yes","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",6210,"1-4,999",15,7617,6462,28,"Yes","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",23398,"1-4,999",15,18649,7483,8,"Yes","Yes"
"SE","No","No","Town:D","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",23600,"1-4,999",13,16200,6323,13,"Yes","Yes"
"SE","No","No","Town:R","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",23750,"<1,000",13,21394,7193,16,"Yes","Yes"
"SE","No","No","Rural:D","No","No","Yes","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","Yes","Yes",15400,"<1,000",14,10906,5467,12,"No","Yes"
"SE","No","No","Town:R","No","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",6510,"1-4,999",17,8693,6302,30,"Yes","Yes"
"SE","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",3600,"5-9,999",19,6241,4851,15,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes",20040,"10-19,999",15,7221,7402,19,"Yes","Yes"
"FW","No","No","City:S","No","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",17748,"<1,000",14,4031,8363,26,"Yes","No"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","No","No",38730,"1-4,999",9,14120,7875,13,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",34174,"5-9,999",11,17028,7702,34,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","No","No",9000,"<1,000",10,4466,5680,37,"No","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",34498,"5-9,999",15,16997,6839,21,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",19620,"<1,000",10,6109,7898,13,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","No","No",26910,"1-4,999",11,7695,10842,28,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",28574,"5-9,999",18,12567,8645,41,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","No",43248,"1-4,999",9,19436,8297,17,"Yes","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",37980,"1-4,999",15,19911,7409,31,"Yes","Yes"
"FW","No","No","Suburb:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"20,000+",22,5827,6194,17,"Yes","No"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",18718,"1-4,999",12,7723,6893,42,"Yes","Yes"
"FW","No","No","Suburb:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"5-9,999",22,8063,6101,51,"Yes","Yes"
"FW","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"10-19,999",25,7400,5920,31,"Yes","Yes"
"FW","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",5472,"10-19,999",25,8166,6767,72,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"20,000+",25,8560,5966,50,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"20,000+",25,7579,6204,42,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"20,000+",24,7479,6210,43,"Yes","Yes"
"FW","No","No","City:M","No","Yes","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",17,16977,5454,16,"Yes","Yes"
"FW","No","No","Suburb:S","No","Yes","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",18,15547,5014,21,"Yes","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",11220,"20,000+",19,16079,5641,27,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",16,17244,5958,24,"Yes","Yes"
"FW","No","No","City:L","No","Yes","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",19,16032,5785,40,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",19,16143,5737,17,"Yes","No"
"FW","No","No","Suburb:M","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",11220,"20,000+",17,16459,5760,28,"Yes","No"
"FW","No","No","City:S","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",11220,"10-19,999",18,16282,5988,33,"Yes","Yes"
"FW","No","No","City:S","No","No","Implied no","No","Yes","Implied no","Implied no","Implied no","Yes","Implied no","No","No",21360,"<1,000",12,5259,9500,0,"No","No"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",43400,"1-4,999",7,10759,8730,22,"Yes","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",5472,"1-4,999",14,7984,7833,19,"Yes","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",46500,"5-9,999",14,22798,7275,15,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",11610,"<1,000",9,6352,11037,53,"No","Yes"
"FW","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",31040,"1-4,999",15,14774,7520,24,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",18693,"<1,000",16,21169,8499,33,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","No",16460,"<1,000",13,4782,6932,23,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",20700,"<1,000",7,5273,9159,28,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","Yes","No",20505,"<1,000",11,6184,8693,34,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Implied no","No","Implied no","Implied no","Yes","Implied no","Yes","Implied no","No","No",19623,"<1,000",9,6767,11895,24,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","No","No",28965,"1-4,999",20,8012,7743,27,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","No","No",28965,"<1,000",21,8121,7552,26,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",27430,"1-4,999",13,12287,8789,47,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",35166,"1-4,999",10,20575,11725,56,"Yes","Yes"
"FW","No","No","Town:R","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"5-9,999",23,8211,6400,36,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",13212,"<1,000",13,7570,10030,57,"Yes","No"
"FW","No","No","City:S","Yes","No","Yes","No","Implied no","Implied no","Yes","Implied no","Yes","Implied no","No","No",17950,"<1,000",12,2724,7574,15,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",17748,"<1,000",25,3982,9256,60,"Yes","No"
"FW","No","No","City:M","No","No","Yes","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","No","No",17748,"<1,000",25,4279,9286,53,"Yes","No"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",12720,"<1,000",16,7169,7096,35,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","Yes","No",18648,"1-4,999",23,6280,9212,46,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",37100,"5-9,999",17,17294,8541,55,"Yes","Yes"
"FW","No","No","Rural:F","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","No",28100,"<1,000",12,11419,3940,21,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Implied no","Implied no","Implied no","Implied no","Yes","Implied no","No","No",9840,"<1,000",18,10558,8731,10,"Yes","Yes"
"FW","No","No","Suburb:L","Yes","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","Yes","No",13860,"<1,000",9,5730,11250,35,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",29340,"1-4,999",14,14987,8195,52,"Yes","Yes"
"FW","No","No","Suburb:L","Yes","No","Implied no","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",10219,"1-4,999",11,3602,8163,30,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",30500,"1-4,999",10,17185,6781,12,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Implied no","Yes","Yes","Implied no","Yes","No",18648,"<1,000",15,5658,8469,41,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",41876,"5-9,999",11,18718,6957,27,"Yes","Yes"
"FW","No","No","Suburb:L","Yes","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",32980,"1-4,999",18,21051,6510,46,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Implied no","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",38100,"<1,000",14,22088,7469,28,"Yes","Yes"
"FW","No","No","City:L","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",34934,"1-4,999",13,19523,6968,68,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Yes","Implied no","Yes","Yes","Yes","Implied no","No","No",12744,"10-19,999",20,4872,11079,37,"Yes","No"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Implied no","Yes","Implied no","No","No",25938,"<1,000",9,9310,9437,39,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",32208,"1-4,999",11,17162,8783,46,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","No",39554,"1-4,999",6,18905,7716,12,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",27900,"1-4,999",14,11802,8058,26,"Yes","Yes"
"FW","No","No","Rural:F","No","No","Implied no","No","Yes","Implied no","Yes","Implied no","Implied no","Implied no","No","No",16374,"1-4,999",15,5759,10794,17,"No","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","No","No",20460,"1-4,999",6,4287,11859,68,"No","Yes"
"FW","No","No","City:L","Yes","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","No",15465,"<1,000",10,5000,7554,0,"Yes","Yes"
"FW","No","No","Rural:F","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",27999,"1-4,999",15,17431,8696,37,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",42414,"5-9,999",13,22641,8546,21,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Implied no","Implied no","Implied no","Implied no","Yes","Implied no","No","No",25120,"<1,000",17,4477,10700,33,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",31800,"1-4,999",15,15901,7101,25,"Yes","Yes"
"FW","No","No","City:S","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",44550,"5-9,999",14,23511,8473,31,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Yes","Yes","Yes",44000,"5-9,999",14,23729,7088,22,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",40402,"<1,000",10,15556,8097,20,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Implied no","Implied no","Yes","Yes","Implied no","Yes","Yes",41200,"<1,000",7,21335,8719,9,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"20,000+",25,7445,6523,34,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",42180,"10-19,999",14,22407,7459,22,"Yes","Yes"
"FW","No","No","Rural:F","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",24806,"1-4,999",11,20496,7188,24,"Yes","Yes"
"FW","No","No","City:L","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",14849,"<1,000",11,4341,9338,80,"Yes","Yes"
"FW","No","No","City:S","Yes","No","Yes","No","Implied no","Implied no","Yes","Yes","Yes","Implied no","No","No",15103,"<1,000",10,4117,9004,78,"Yes","Yes"
"FW","No","No","City:M","No","No","Implied no","No","Implied no","Yes","Yes","Implied no","Yes","Yes","Yes","Yes",45300,"5-9,999",12,21875,6669,20,"Yes","Yes"
"FW","No","No","City:S","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",25200,"1-4,999",9,13520,8552,16,"Yes","Yes"
"FW","No","No","Rural:F","No","No","Implied no","No","Implied no","Yes","Yes","Implied no","Yes","Implied no","Yes","Yes",42780,"1-4,999",11,18323,7087,29,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Yes","Yes","Yes",5472,"5-9,999",25,6503,6338,31,"Yes","Yes"
"FW","No","No","City:M","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",29980,"1-4,999",15,7679,7679,41,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Yes","Implied no","Implied no","Yes","Implied no","No","No",40830,"<1,000",15,9676,10294,15,"No","No"
"FW","No","No","Rural:D","No","No","Implied no","No","Implied no","Implied no","Implied no","Implied no","Yes","Implied no","Yes","Yes",24500,"<1,000",11,15622,4549,15,"No","Yes"
"FW","No","No","Suburb:L","No","No","Yes","No","Yes","Implied no","Yes","Implied no","Yes","Implied no","No","No",8964,"<1,000",9,3550,2334,41,"No","Yes"
"PL","No","No","City:L","Yes","No","Implied no","Yes","Yes","Yes","Implied no","Yes","Yes","Implied no","No","No",11700,"20,000+",18,3048,9904,36,"No","Yes"
"FW","No","No","Suburb:M","No","No","Implied no","No","Implied no","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",40320,"1-4,999",12,21068,6826,16,"Yes","Yes"
"FW","No","No","Suburb:L","No","No","Implied no","No","Yes","Yes","Implied no","Yes","Yes","Implied no","Yes","Yes",42690,"1-4,999",12,25740,7376,49,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Yes","Yes","Yes","Yes","Yes","Implied no","Yes","Yes",35808,"1-4,999",8,16365,8643,29,"Yes","Yes"
"FW","No","No","City:L","No","No","Implied no","No","Implied no","Implied no","Implied no","Implied no","Yes","Implied no","Yes","Yes",13200,"<1,000",23,17092,7554,0,"No","Yes"
